booster,eta,max_depth,gamma,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,lambda,best_nrounds,cv_mean,cv_sd
gbtree,0.1,18,2.33052523351,0.548796565599,0.972250215381,0.567657895943,0.526775832384,0.921788729702,3.65317079658,268,1151.8996885,6.36185806054
gbtree,0.1,5,0.413948579522,0.138858173717,2.23002374451,0.789899045323,0.97845702712,0.340314954979,1.27174699267,725,1149.81677225,5.43575560398
gbtree,0.1,16,4.94177885168,1.65528015163,4.27138566387,0.902055401111,0.427052979142,0.51122923556,4.87186548256,1762,1144.98486325,5.32484049244
gbtree,0.1,12,3.46442175994,0.264391419594,3.93803863177,0.832663945979,0.675967464577,0.982328303862,2.18540477488,634,1143.9288025,5.56552961495
gbtree,0.1,14,1.5564959925,1.23889751207,3.47305525848,0.420736640062,0.61061032262,0.945135083253,0.430604183868,109,1168.493347,6.80749210248
gbtree,0.1,3,4.39434730437,1.00415735407,1.61630356342,0.38139764642,0.397016828898,0.486775878664,1.57082186809,3512,1165.9667665,5.04492237356
gbtree,0.1,15,2.02813539426,0.267408634727,3.90461072071,0.484011894386,0.771297840298,0.689887024477,0.03441116233,122,1167.72229,7.60882327584
gbtree,0.1,6,3.28852682277,0.955652318261,1.20010065642,0.529535146585,0.659386133869,0.659672158315,4.40589088385,1427,1147.639435,5.44440153031
gbtree,0.1,19,4.77940162016,0.895793852451,4.80812720926,0.93180102442,0.716689949094,0.812565305741,4.10422138468,1134,1144.0553285,4.75061482653
gbtree,0.1,18,0.296149513846,0.0425754018713,1.47447262182,0.434792960722,0.989937000692,0.324182430571,4.58021400157,106,1188.09744275,7.15660771538
gbtree,0.1,3,1.01674327837,1.38272967148,1.59527947029,0.724117276445,0.966585143613,0.33246734184,2.17779616396,2627,1153.39282225,5.78187848244
gbtree,0.1,15,0.457537365379,1.93789190292,2.29059031461,0.332897614174,0.594358383351,0.787101218962,4.23408494093,99,1177.7767945,8.21362306574
gbtree,0.1,18,1.15804717813,1.43945292151,0.557432951025,0.926113395998,0.760458612218,0.65999701305,3.25242636038,342,1159.850708,7.39603207752
gbtree,0.1,14,1.25272741305,0.712824123373,4.86476141998,0.603358541282,0.318449271667,0.389782266942,3.4718593646,212,1155.3797915,6.08130113329
gbtree,0.1,4,0.454528788725,1.49073916262,2.28063672593,0.539018521888,0.868882694501,0.901708246331,3.91334404655,1067,1152.06927475,5.61276122684
gbtree,0.1,14,2.03251824463,1.52778881367,2.08628955487,0.839601342907,0.604525936041,0.61470519035,2.5973275241,276,1149.462799,5.91441326128
gbtree,0.1,12,4.18924308117,1.01380964179,4.96166328925,0.820558194868,0.371424352789,0.438369280097,1.41421855587,1968,1144.73333725,5.40828271429
gbtree,0.1,10,2.13768411945,0.393339335146,0.793357747547,0.914575427136,0.544023522878,0.692295299652,0.423796897577,442,1147.38391125,6.08892628543
gbtree,0.1,17,0.415295688567,0.769945267721,0.130105990386,0.671324101295,0.41203052721,0.9986378789,0.325929972595,752,1165.3792115,7.97953015358
gbtree,0.1,12,0.433070266858,1.18746318385,3.6684420185,0.937192988091,0.821310427795,0.563979644981,4.79863230365,133,1155.59933475,5.11954838258
gbtree,0.1,19,0.242037657537,1.69300644324,2.580302319,0.33907070286,0.592335888496,0.309908847304,1.48636320634,78,1197.25363175,8.12715287416
gbtree,0.1,8,4.66526906012,0.29539996065,1.34921351767,0.600895549442,0.789793348567,0.646650852546,1.36019374784,990,1150.150055,5.70912669212
gbtree,0.1,19,3.69550517694,0.649030299546,4.37118743757,0.351131811336,0.909943126075,0.510649232153,4.8798724854,474,1152.85467525,6.92437473927
gbtree,0.1,10,0.799768790884,0.145651964561,3.50515478952,0.760226833057,0.543035087005,0.977446684751,3.84857857345,179,1152.36746225,6.3131844221
gbtree,0.1,4,2.88193014231,0.885601459345,2.90594869724,0.459879178631,0.669011847201,0.979907819871,2.44083020548,1676,1152.47378525,6.07253852741
gbtree,0.1,18,4.76621652095,1.27228647592,4.33135233124,0.327723738049,0.96594756853,0.879589914775,2.1976078682,551,1154.4009705,5.77781274529
gbtree,0.1,17,3.02941250553,0.363229832536,3.26527389385,0.934585995642,0.82162093313,0.361357893236,2.98062496104,657,1144.2925415,6.86100319854
